,date,time,open,high,low,close,jdiff_vol,value,jongchk,rate,sign
31,20231228,125400,10230,10230,10220,10220,374,4,0,0.00,2
32,20231228,125500,10230,10230,10220,10220,956,10,0,0.00,2
33,20231228,125600,10230,10230,10220,10230,136,1,0,0.00,2
34,20231228,125700,10220,10230,10220,10220,789,8,0,0.00,2
35,20231228,125800,10220,10230,10220,10220,976,10,0,0.00,2
36,20231228,125900,10210,10230,10210,10210,487,5,0,0.00,3
37,20231228,130000,10220,10220,10210,10210,817,8,0,0.00,3
38,20231228,130100,10220,10220,10210,10220,850,9,0,0.00,2
39,20231228,130200,10220,10220,10210,10220,424,4,0,0.00,2
40,20231228,130300,10220,10220,10210,10210,1036,11,0,0.00,3
41,20231228,130400,10220,10230,10210,10210,2976,30,0,0.00,3
42,20231228,130500,10210,10220,10210,10220,550,6,0,0.00,2
43,20231228,130600,10220,10220,10210,10220,885,9,0,0.00,2
44,20231228,130700,10220,10220,10210,10220,1256,13,0,0.00,2
45,20231228,130800,10220,10220,10210,10210,91,1,0,0.00,3
46,20231228,130900,10210,10220,10210,10220,744,8,0,0.00,2
47,20231228,131000,10220,10220,10210,10210,658,7,0,0.00,3
48,20231228,131100,10220,10220,10200,10210,1919,20,0,0.00,3
49,20231228,131200,10210,10210,10200,10200,347,4,0,0.00,5
50,20231228,131300,10210,10220,10200,10200,1165,12,0,0.00,5
51,20231228,131400,10200,10220,10200,10220,908,9,0,0.00,2
52,20231228,131500,10200,10210,10200,10200,299,3,0,0.00,5
53,20231228,131600,10220,10220,10200,10210,112,1,0,0.00,3
54,20231228,131700,10210,10220,10210,10220,528,5,0,0.00,2
55,20231228,131800,10210,10220,10210,10220,1015,10,0,0.00,2
56,20231228,131900,10220,10220,10210,10220,988,10,0,0.00,2
57,20231228,132000,10220,10220,10210,10210,309,3,0,0.00,3
58,20231228,132100,10210,10220,10210,10220,851,9,0,0.00,2
59,20231228,132200,10220,10220,10210,10220,684,7,0,0.00,2
60,20231228,132300,10220,10220,10210,10220,317,3,0,0.00,2
61,20231228,132400,10220,10220,10200,10200,2006,20,0,0.00,5
62,20231228,132500,10200,10210,10190,10210,658,7,0,0.00,3
63,20231228,132600,10210,10210,10190,10200,1512,15,0,0.00,5
64,20231228,132700,10200,10200,10190,10200,8328,85,0,0.00,5
65,20231228,132800,10200,10200,10190,10200,331,3,0,0.00,5
66,20231228,132900,10200,10210,10200,10200,1061,11,0,0.00,5
67,20231228,133000,10200,10220,10200,10200,347,4,0,0.00,5
68,20231228,133100,10210,10210,10200,10200,546,6,0,0.00,5
69,20231228,133200,10200,10210,10200,10210,836,9,0,0.00,3
70,20231228,133300,10200,10210,10200,10210,712,7,0,0.00,3
71,20231228,133400,10210,10210,10200,10200,511,5,0,0.00,5
72,20231228,133500,10200,10210,10200,10200,1001,10,0,0.00,5
73,20231228,133600,10200,10230,10200,10220,5964,61,0,0.00,2
74,20231228,133700,10230,10230,10200,10200,407,4,0,0.00,5
75,20231228,133800,10200,10210,10200,10210,666,7,0,0.00,3
76,20231228,133900,10200,10210,10200,10200,337,3,0,0.00,5
77,20231228,134000,10210,10210,10200,10210,589,6,0,0.00,3
78,20231228,134100,10200,10210,10200,10210,1099,11,0,0.00,3
79,20231228,134200,10200,10210,10200,10210,490,5,0,0.00,3
80,20231228,134300,10210,10210,10200,10210,430,4,0,0.00,3
81,20231228,134400,10200,10210,10200,10210,877,9,0,0.00,3
82,20231228,134500,10210,10210,10200,10210,1029,10,0,0.00,3
83,20231228,134600,10210,10210,10200,10200,573,6,0,0.00,5
84,20231228,134700,10200,10210,10200,10200,582,6,0,0.00,5
85,20231228,134800,10210,10210,10200,10200,998,10,0,0.00,5
86,20231228,134900,10210,10210,10200,10200,489,5,0,0.00,5
87,20231228,135000,10210,10210,10200,10200,840,9,0,0.00,5
88,20231228,135100,10210,10210,10200,10200,622,6,0,0.00,5
89,20231228,135200,10210,10210,10200,10210,1339,14,0,0.00,3
90,20231228,135300,10210,10210,10200,10200,973,10,0,0.00,5
91,20231228,135400,10200,10210,10200,10210,1529,16,0,0.00,3
92,20231228,135500,10210,10210,10200,10210,490,5,0,0.00,3
93,20231228,135600,10200,10210,10200,10210,722,7,0,0.00,3
94,20231228,135700,10200,10210,10190,10190,2867,29,0,0.00,5
95,20231228,135800,10200,10200,10190,10200,3076,31,0,0.00,5
96,20231228,135900,10200,10210,10200,10210,92,1,0,0.00,3
97,20231228,140000,10210,10210,10200,10200,2082,21,0,0.00,5
98,20231228,140100,10200,10230,10200,10220,4523,46,0,0.00,2
99,20231228,140200,10220,10230,10210,10220,423,4,0,0.00,2
100,20231228,140300,10230,10230,10220,10230,870,9,0,0.00,2
101,20231228,140400,10230,10230,10220,10230,1308,13,0,0.00,2
102,20231228,140500,10230,10230,10220,10220,271,3,0,0.00,2
103,20231228,140600,10230,10230,10220,10220,780,8,0,0.00,2
104,20231228,140700,10230,10230,10220,10220,678,7,0,0.00,2
105,20231228,140800,10220,10230,10220,10230,666,7,0,0.00,2
106,20231228,140900,10230,10230,10220,10230,701,7,0,0.00,2
107,20231228,141000,10220,10230,10220,10230,648,7,0,0.00,2
108,20231228,141100,10230,10230,10220,10230,1028,11,0,0.00,2
109,20231228,141200,10220,10230,10220,10230,949,10,0,0.00,2
110,20231228,141300,10230,10230,10220,10220,1107,11,0,0.00,2
111,20231228,141400,10220,10230,10220,10230,838,9,0,0.00,2
112,20231228,141500,10220,10230,10220,10230,1967,20,0,0.00,2
113,20231228,141600,10230,10230,10220,10230,249,3,0,0.00,2
114,20231228,141700,10230,10230,10220,10230,481,5,0,0.00,2
115,20231228,141800,10220,10230,10220,10230,796,8,0,0.00,2
116,20231228,141900,10230,10230,10220,10220,2363,24,0,0.00,2
117,20231228,142000,10230,10230,10220,10220,1139,12,0,0.00,2
118,20231228,142100,10230,10230,10220,10230,1200,12,0,0.00,2
119,20231228,142200,10230,10250,10220,10220,11422,117,0,0.00,2
120,20231228,142300,10240,10240,10220,10230,788,8,0,0.00,2
121,20231228,142400,10230,10240,10220,10240,935,10,0,0.00,2
122,20231228,142500,10230,10240,10230,10240,248,3,0,0.00,2
123,20231228,142600,10240,10240,10230,10230,494,5,0,0.00,2
124,20231228,142700,10230,10240,10230,10230,3219,33,0,0.00,2
125,20231228,142800,10230,10240,10230,10230,281,3,0,0.00,2
126,20231228,142900,10240,10240,10230,10230,583,6,0,0.00,2
127,20231228,143000,10230,10240,10230,10230,1575,16,0,0.00,2
128,20231228,143100,10240,10250,10230,10240,11364,116,0,0.00,2
129,20231228,143200,10240,10250,10230,10240,694,7,0,0.00,2
130,20231228,143300,10230,10240,10230,10240,413,4,0,0.00,2
131,20231228,143400,10240,10240,10230,10230,195,2,0,0.00,2
132,20231228,143500,10240,10240,10230,10240,327,3,0,0.00,2
133,20231228,143600,10240,10240,10230,10240,640,7,0,0.00,2
134,20231228,143700,10230,10240,10230,10240,987,10,0,0.00,2
135,20231228,143800,10240,10240,10230,10230,540,6,0,0.00,2
136,20231228,143900,10240,10250,10230,10250,6985,72,0,0.00,2
137,20231228,144000,10250,10250,10240,10240,2067,21,0,0.00,2
138,20231228,144100,10250,10250,10240,10250,103,1,0,0.00,2
139,20231228,144200,10250,10250,10240,10250,5697,58,0,0.00,2
140,20231228,144300,10250,10250,10240,10250,1169,12,0,0.00,2
141,20231228,144400,10250,10250,10240,10250,3489,36,0,0.00,2
142,20231228,144500,10250,10250,10240,10250,1743,18,0,0.00,2
143,20231228,144600,10250,10250,10230,10250,1353,14,0,0.00,2
144,20231228,144700,10250,10250,10240,10240,1328,14,0,0.00,2
145,20231228,144800,10250,10250,10240,10250,2862,29,0,0.00,2
146,20231228,144900,10250,10250,10240,10250,773,8,0,0.00,2
147,20231228,145000,10240,10250,10230,10240,2109,22,0,0.00,2
148,20231228,145100,10240,10240,10230,10240,1502,15,0,0.00,2
149,20231228,145200,10240,10250,10230,10250,6803,70,0,0.00,2
150,20231228,145300,10240,10250,10240,10240,526,5,0,0.00,2
151,20231228,145400,10250,10260,10240,10260,10029,103,0,0.00,2
152,20231228,145500,10260,10260,10250,10260,1661,17,0,0.00,2
153,20231228,145600,10260,10260,10250,10260,256,3,0,0.00,2
154,20231228,145700,10260,10260,10250,10260,1087,11,0,0.00,2
155,20231228,145800,10260,10260,10250,10250,705,7,0,0.00,2
156,20231228,145900,10260,10260,10250,10260,475,5,0,0.00,2
157,20231228,150000,10250,10260,10250,10260,468,5,0,0.00,2
158,20231228,150100,10250,10260,10250,10260,3714,38,0,0.00,2
159,20231228,150200,10250,10260,10250,10250,354,4,0,0.00,2
160,20231228,150300,10250,10260,10250,10260,292,3,0,0.00,2
